Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,1,90.3654864,True
1,mono,1,90.3654864,True
2,micro,1,104.2385812,True
2,mono,1,104.2385812,True
3,micro,1,96.45055889999998,True
3,mono,1,96.45055889999998,True
4,micro,1,99.9937627,True
4,mono,1,99.9937627,True
5,micro,1,97.3280947,True
5,mono,1,97.3280947,True
6,micro,1,104.90219560000004,True
6,mono,1,104.90219560000004,True
7,micro,1,97.42202809999998,True
7,mono,1,97.42202809999998,True
8,micro,1,95.4593142,True
8,mono,1,95.4593142,True
9,micro,1,95.70156350000002,True
9,mono,1,95.70156350000002,True
10,micro,1,93.9835708,True
10,mono,1,93.9835708,True
11,micro,1,96.2190212,True
11,mono,1,96.2190212,True
12,micro,1,86.3889719,True
12,mono,1,86.3889719,True
13,micro,1,98.52378720000002,True
13,mono,1,98.52378720000002,True
14,micro,1,87.02837829999999,True
14,mono,1,87.02837829999999,True
15,micro,1,99.40513019999996,True
15,mono,1,99.40513019999996,True
16,micro,1,93.83772679999998,True
16,mono,1,93.83772679999998,True
17,micro,1,108.2202297,True
17,mono,1,108.2202297,True
18,micro,1,94.31316170000002,True
18,mono,1,94.31316170000002,True
19,micro,1,99.15485239999998,True
19,mono,1,99.15485239999998,True
20,micro,1,107.50050449999998,True
20,mono,1,107.50050449999998,True
21,micro,1,105.662934,True
21,mono,1,105.662934,True
22,micro,1,92.98612100000004,True
22,mono,1,92.98612100000004,True
23,micro,1,105.6992343,True
23,mono,1,105.6992343,True
24,micro,1,90.01323810000002,True
24,mono,1,90.01323810000002,True
25,micro,1,103.82216060000002,True
25,mono,1,103.82216060000002,True
26,micro,1,108.0057081,True
26,mono,1,108.0057081,True
27,micro,1,99.87411759999998,True
27,mono,1,99.87411759999998,True
28,micro,1,92.09511170000002,True
28,mono,1,92.09511170000002,True
29,micro,1,90.9772251,True
29,mono,1,90.9772251,True
30,micro,1,86.89260760000002,True
30,mono,1,86.89260760000002,True
1,micro,2,131.996982910088,True
1,mono,2,140.3654864,True
2,micro,2,145.870077710088,True
2,mono,2,154.2385812,True
3,micro,2,138.08205541008797,True
3,mono,2,146.45055889999998,True
4,micro,2,144.625259210088,True
4,mono,2,152.9937627,True
5,micro,2,138.959591210088,True
5,mono,2,147.3280947,True
6,micro,2,139.53369211008803,True
6,mono,2,147.90219560000003,True
7,micro,2,139.05352461008798,True
7,mono,2,147.42202809999998,True
8,micro,2,137.090810710088,True
8,mono,2,145.4593142,True
9,micro,2,137.33306001008802,True
9,mono,2,145.70156350000002,True
10,micro,2,135.615067310088,True
10,mono,2,143.9835708,True
11,micro,2,137.85051771008798,True
11,mono,2,146.2190212,True
12,micro,2,128.020468410088,True
12,mono,2,136.3889719,True
13,micro,2,133.155283710088,True
13,mono,2,141.52378720000002,True
14,micro,2,128.659874810088,True
14,mono,2,137.0283783,True
15,micro,2,141.03662671008797,True
15,mono,2,149.40513019999997,True
16,micro,2,135.46922331008798,True
16,mono,2,143.83772679999998,True
17,micro,2,154.851726210088,True
17,mono,2,168.2202297,True
18,micro,2,135.94465821008802,True
18,mono,2,144.31316170000002,True
19,micro,2,140.78634891008798,True
19,mono,2,149.15485239999998,True
20,micro,2,153.13200101008798,True
20,mono,2,161.50050449999998,True
21,micro,2,150.294430510088,True
21,mono,2,158.662934,True
22,micro,2,144.61761751008805,True
22,mono,2,152.98612100000005,True
23,micro,2,150.330730810088,True
23,mono,2,158.6992343,True
24,micro,2,136.64473461008802,True
24,mono,2,145.01323810000002,True
25,micro,2,160.45365711008802,True
25,mono,2,168.82216060000002,True
26,micro,2,164.637204610088,True
26,mono,2,173.0057081,True
27,micro,2,151.50561411008798,True
27,mono,2,159.87411759999998,True
28,micro,2,143.72660821008802,True
28,mono,2,152.09511170000002,True
29,micro,2,142.608721610088,True
29,mono,2,150.9772251,True
30,micro,2,138.52410411008802,True
30,mono,2,146.89260760000002,True
1,micro,3,190.3654864,True
1,mono,3,210.3654864,True
2,micro,3,214.2385812,True
2,mono,3,234.2385812,True
3,micro,3,196.45055889999998,True
3,mono,3,216.45055889999998,True
4,micro,3,202.9937627,True
4,mono,3,222.9937627,True
5,micro,3,197.3280947,True
5,mono,3,217.3280947,True
6,micro,3,207.90219560000003,True
6,mono,3,227.90219560000003,True
7,micro,3,197.42202809999998,True
7,mono,3,217.42202809999998,True
8,micro,3,195.4593142,True
8,mono,3,215.4593142,True
9,micro,3,195.70156350000002,True
9,mono,3,215.70156350000002,True
10,micro,3,193.9835708,True
10,mono,3,213.9835708,True
11,micro,3,196.2190212,True
11,mono,3,216.2190212,True
12,micro,3,186.3889719,True
12,mono,3,206.3889719,True
13,micro,3,201.52378720000002,True
13,mono,3,221.52378720000002,True
14,micro,3,187.0283783,True
14,mono,3,207.0283783,True
15,micro,3,209.40513019999997,True
15,mono,3,229.40513019999997,True
16,micro,3,193.83772679999998,True
